filename,gender,age,race
000000.png,0,6,0
000001.png,1,4,1
000002.png,1,1,2
000003.png,1,3,1
000004.png,1,3,1
000005.png,0,3,3
000006.png,0,5,4
000007.png,1,4,1
000008.png,0,2,3
000009.png,0,4,4
000010.png,0,6,0
000011.png,0,3,0
000012.png,0,3,5
000013.png,0,2,1
000014.png,1,7,1
000016.png,1,3,6
000017.png,0,5,6
000018.png,1,0,2
000019.png,0,6,6
000020.png,1,3,1
000021.png,1,4,4
000022.png,1,3,2
000023.png,1,4,3
000024.png,1,3,3
000025.png,1,4,2
000026.png,1,6,3
000027.png,1,2,3
000028.png,0,3,1
000029.png,1,3,2
000030.png,1,5,2
000031.png,1,2,0
000032.png,0,6,3
000033.png,0,5,4
000034.png,0,3,0
000035.png,1,7,4
000036.png,1,3,5
000038.png,0,6,4
000039.png,1,3,5
000040.png,0,3,3
000041.png,1,2,2
000042.png,1,2,6
000043.png,0,5,5
000044.png,0,2,1
000045.png,1,2,1
000046.png,0,7,0
000047.png,1,1,4
000048.png,1,2,6
000050.png,1,1,0
000051.png,0,7,5
000052.png,0,6,6
000053.png,1,4,0
000054.png,0,4,6
000055.png,0,4,3
000057.png,1,5,5
000058.png,1,2,5
000059.png,1,2,5
000060.png,0,1,0
000061.png,0,2,1
000062.png,0,5,1
000063.png,0,3,6
000064.png,0,4,0
000065.png,0,4,5
000066.png,1,2,5
000068.png,0,6,6
000070.png,1,7,1
000071.png,0,4,5
000072.png,1,4,5
000073.png,1,3,6
000074.png,0,4,1
000075.png,0,3,6
000076.png,1,6,2
000077.png,1,3,4
000078.png,0,5,5
000079.png,0,4,3
000080.png,1,4,2
000081.png,0,4,1
000082.png,0,5,3
000083.png,1,2,2
000084.png,1,3,3
000085.png,1,3,2
000087.png,1,3,6
000088.png,0,5,1
000089.png,0,6,1
000090.png,0,4,5
000091.png,1,0,0
000092.png,1,4,3
000093.png,1,1,5
000094.png,0,3,2
000095.png,1,4,3
000096.png,1,4,3
000097.png,1,3,0
000098.png,0,4,3
000099.png,1,3,0
000100.png,0,4,1
000101.png,0,4,3
000102.png,0,5,1
000103.png,0,4,1
000104.png,0,6,0
000105.png,0,5,2
000106.png,1,4,3
000107.png,1,8,1
000108.png,1,3,4
000109.png,0,4,3
000110.png,1,5,1
000111.png,1,5,5
000112.png,0,4,4
000113.png,1,4,3
000115.png,1,3,5
000116.png,0,4,3
000117.png,0,4,3
000118.png,0,5,1
000119.png,0,7,4
000120.png,1,3,3
000121.png,1,3,0
000122.png,1,4,2
000123.png,0,0,1
000124.png,0,5,3
000125.png,1,4,0
000126.png,1,1,3
000127.png,1,3,1
000128.png,1,2,2
000129.png,0,6,3
000130.png,1,4,4
000131.png,1,1,3
000132.png,0,1,5
000133.png,0,4,3
000134.png,1,5,3
000135.png,1,6,1
000136.png,0,5,5
000137.png,0,6,2
000138.png,1,4,0
000139.png,1,3,0
000140.png,0,2,5
000141.png,0,4,0
000142.png,0,4,1
000143.png,0,8,0
000144.png,0,4,3
000146.png,0,5,6
000147.png,0,6,6
000148.png,0,6,1
000149.png,0,3,5
000150.png,1,3,2
000151.png,0,3,4
000152.png,1,3,6
000153.png,0,4,3
000154.png,0,3,6
000155.png,0,3,5
000156.png,0,3,3
000157.png,0,1,2
000158.png,1,4,1
000159.png,1,5,2
000160.png,1,2,5
000161.png,1,4,3
000162.png,0,2,6
000163.png,1,3,0
000164.png,1,6,6
000165.png,0,1,0
000166.png,1,4,5
000167.png,1,3,6
000168.png,0,3,0
000169.png,1,3,6
000171.png,0,2,6
000173.png,0,7,1
000174.png,1,3,1
000175.png,1,7,3
000176.png,1,4,3
000177.png,0,4,3
000178.png,1,2,2
000179.png,0,4,4
000180.png,1,3,5
000181.png,0,5,2
000182.png,1,3,2
000183.png,0,3,3
000184.png,0,1,2
000185.png,1,6,6
000186.png,1,4,4
000188.png,1,1,0
000189.png,0,2,0
000190.png,1,3,0
000191.png,1,2,3
000192.png,0,7,3
000193.png,0,3,0
000194.png,0,5,2
000196.png,1,5,3
000197.png,1,2,1
000198.png,1,3,5
000199.png,0,2,1
000200.png,1,5,5
000201.png,0,5,2
000203.png,1,3,0
000204.png,1,1,6
000205.png,1,6,3
000206.png,1,3,4
000207.png,1,4,1
000208.png,1,4,2
000209.png,0,1,2
000210.png,0,3,6
000211.png,0,1,0
000212.png,0,6,3
000213.png,0,6,3
000214.png,1,4,2
000215.png,0,6,2
000216.png,0,5,1
000218.png,1,4,6
000219.png,0,1,5
000221.png,0,4,4
000222.png,0,6,5
000223.png,1,5,5
000224.png,0,5,4
000225.png,1,3,6
000226.png,0,4,4
000227.png,1,3,1
000229.png,0,6,3
000230.png,0,4,6
000231.png,0,6,4
000232.png,0,3,4
000233.png,0,5,3
000234.png,1,3,0
000235.png,1,3,6
000236.png,0,4,1
000237.png,0,4,6
000238.png,1,4,3
000240.png,0,4,3
000241.png,1,3,1
000242.png,1,5,6
000243.png,1,5,2
000244.png,1,3,6
000245.png,0,3,3
000246.png,1,3,1
000247.png,0,1,2
000248.png,0,2,1
000249.png,1,4,0
000250.png,0,1,2
000251.png,1,3,0
000252.png,0,1,6
000254.png,1,8,6
000255.png,0,1,0
000256.png,1,2,5
000257.png,0,1,6
000258.png,1,2,5
000259.png,0,3,2
000260.png,0,4,5
000261.png,0,1,2
000262.png,1,5,2
000263.png,0,2,6
000265.png,0,2,5
000266.png,0,5,2
000267.png,0,3,5
000268.png,1,3,6
