dataset,index,filename,status,gender,age,race,time_ms
train,0,000000.png,success,0,6,0,9249.83
train,1,000001.png,success,1,4,1,8591.38
train,2,000002.png,success,1,1,2,8570.26
train,3,000003.png,success,1,3,1,8365.77
train,4,000004.png,success,1,3,1,8396.05
train,5,000005.png,success,0,3,3,8640.11
train,6,000006.png,success,0,5,4,8385.7
train,7,000007.png,success,1,4,1,8392.99
train,8,000008.png,success,0,2,3,8560.22
train,9,000009.png,success,0,4,4,8662.74
train,10,000010.png,success,0,6,0,8512.81
train,11,000011.png,success,0,3,0,8445.09
train,12,000012.png,success,0,3,5,8623.54
train,13,000013.png,success,0,2,1,8379.98
train,14,000014.png,success,1,7,1,8569.71
train,15,,failed,1,4,3,8250.48
train,16,000016.png,success,1,3,6,8514.72
train,17,000017.png,success,0,5,6,8711.9
train,18,000018.png,success,1,0,2,8742.21
train,19,000019.png,success,0,6,6,8482.72
train,20,000020.png,success,1,3,1,8375.72
train,21,000021.png,success,1,4,4,8323.51
train,22,000022.png,success,1,3,2,8569.49
train,23,000023.png,success,1,4,3,8359.76
train,24,000024.png,success,1,3,3,8380.43
train,25,000025.png,success,1,4,2,8699.19
train,26,000026.png,success,1,6,3,8374.13
train,27,000027.png,success,1,2,3,8439.78
train,28,000028.png,success,0,3,1,8270.08
train,29,000029.png,success,1,3,2,8280.82
train,30,000030.png,success,1,5,2,8416.85
train,31,000031.png,success,1,2,0,8659.04
train,32,000032.png,success,0,6,3,8492.79
train,33,000033.png,success,0,5,4,8325.24
train,34,000034.png,success,0,3,0,8500.53
train,35,000035.png,success,1,7,4,8348.77
train,36,000036.png,success,1,3,5,8335.53
train,37,,failed,0,4,5,8278.24
train,38,000038.png,success,0,6,4,8623.13
train,39,000039.png,success,1,3,5,8493.27
train,40,000040.png,success,0,3,3,8685.24
train,41,000041.png,success,1,2,2,8756.03
train,42,000042.png,success,1,2,6,8642.57
train,43,000043.png,success,0,5,5,9146.02
train,44,000044.png,success,0,2,1,9113.3
train,45,000045.png,success,1,2,1,8612.83
train,46,000046.png,success,0,7,0,8697.33
train,47,000047.png,success,1,1,4,8681.43
train,48,000048.png,success,1,2,6,8333.4
train,49,,failed,1,6,2,8258.5
train,50,000050.png,success,1,1,0,8539.27
train,51,000051.png,success,0,7,5,8567.81
train,52,000052.png,success,0,6,6,8450.12
train,53,000053.png,success,1,4,0,8285.44
train,54,000054.png,success,0,4,6,8622.22
train,55,000055.png,success,0,4,3,8321.53
train,56,,failed,0,3,2,8259.33
train,57,000057.png,success,1,5,5,8298.5
train,58,000058.png,success,1,2,5,8310.13
train,59,000059.png,success,1,2,5,8418.13
train,60,000060.png,success,0,1,0,8615.82
train,61,000061.png,success,0,2,1,8714.22
train,62,000062.png,success,0,5,1,8585.29
train,63,000063.png,success,0,3,6,8351.37
train,64,000064.png,success,0,4,0,8466.21
train,65,000065.png,success,0,4,5,8520.02
train,66,000066.png,success,1,2,5,8531.89
train,67,,failed,0,7,3,8267.87
train,68,000068.png,success,0,6,6,8290.66
train,69,,failed,0,4,1,8276.55
train,70,000070.png,success,1,7,1,8402.2
train,71,000071.png,success,0,4,5,8706.49
train,72,000072.png,success,1,4,5,8335.54
train,73,000073.png,success,1,3,6,8559.36
train,74,000074.png,success,0,4,1,8407.06
train,75,000075.png,success,0,3,6,8303.81
train,76,000076.png,success,1,6,2,8371.54
train,77,000077.png,success,1,3,4,8394.47
train,78,000078.png,success,0,5,5,8219.53
train,79,000079.png,success,0,4,3,8607.03
train,80,000080.png,success,1,4,2,8819.17
train,81,000081.png,success,0,4,1,9344.96
train,82,000082.png,success,0,5,3,8695.99
train,83,000083.png,success,1,2,2,8638.39
train,84,000084.png,success,1,3,3,8457.59
train,85,000085.png,success,1,3,2,8514.01
train,86,,failed,0,3,2,8257.52
train,87,000087.png,success,1,3,6,8563.67
train,88,000088.png,success,0,5,1,8436.87
train,89,000089.png,success,0,6,1,8303.11
train,90,000090.png,success,0,4,5,8424.38
train,91,000091.png,success,1,0,0,8286.34
train,92,000092.png,success,1,4,3,8422.51
train,93,000093.png,success,1,1,5,8532.71
train,94,000094.png,success,0,3,2,8635.29
train,95,000095.png,success,1,4,3,8304.04
train,96,000096.png,success,1,4,3,8623.34
train,97,000097.png,success,1,3,0,8294.4
train,98,000098.png,success,0,4,3,8508.17
train,99,000099.png,success,1,3,0,8278.85
train,100,000100.png,success,0,4,1,8699.66
train,101,000101.png,success,0,4,3,8316.46
train,102,000102.png,success,0,5,1,8657.26
train,103,000103.png,success,0,4,1,8714.85
train,104,000104.png,success,0,6,0,8660.89
train,105,000105.png,success,0,5,2,8564.28
train,106,000106.png,success,1,4,3,8418.57
train,107,000107.png,success,1,8,1,8314.21
train,108,000108.png,success,1,3,4,8363.24
train,109,000109.png,success,0,4,3,8407.47
train,110,000110.png,success,1,5,1,8425.26
train,111,000111.png,success,1,5,5,8586.31
train,112,000112.png,success,0,4,4,8541.5
train,113,000113.png,success,1,4,3,8403.03
train,114,,failed,0,6,2,8255.17
train,115,000115.png,success,1,3,5,8725.27
train,116,000116.png,success,0,4,3,8631.0
train,117,000117.png,success,0,4,3,8755.15
train,118,000118.png,success,0,5,1,8352.96
train,119,000119.png,success,0,7,4,8557.96
train,120,000120.png,success,1,3,3,8315.89
train,121,000121.png,success,1,3,0,8537.24
train,122,000122.png,success,1,4,2,8321.57
train,123,000123.png,success,0,0,1,8373.94
train,124,000124.png,success,0,5,3,8793.53
train,125,000125.png,success,1,4,0,8385.95
train,126,000126.png,success,1,1,3,8323.0
train,127,000127.png,success,1,3,1,8308.32
train,128,000128.png,success,1,2,2,8517.36
train,129,000129.png,success,0,6,3,8331.32
train,130,000130.png,success,1,4,4,8304.86
train,131,000131.png,success,1,1,3,8404.49
train,132,000132.png,success,0,1,5,8632.21
train,133,000133.png,success,0,4,3,8542.1
train,134,000134.png,success,1,5,3,8471.73
train,135,000135.png,success,1,6,1,8526.5
train,136,000136.png,success,0,5,5,8317.49
train,137,000137.png,success,0,6,2,8642.55
train,138,000138.png,success,1,4,0,8554.39
train,139,000139.png,success,1,3,0,8327.44
train,140,000140.png,success,0,2,5,8457.56
train,141,000141.png,success,0,4,0,8329.85
train,142,000142.png,success,0,4,1,8453.54
train,143,000143.png,success,0,8,0,8723.85
train,144,000144.png,success,0,4,3,8596.63
train,145,,failed,0,5,6,8262.85
train,146,000146.png,success,0,5,6,8741.98
train,147,000147.png,success,0,6,6,8540.18
train,148,000148.png,success,0,6,1,8322.34
train,149,000149.png,success,0,3,5,8670.73
train,150,000150.png,success,1,3,2,8336.61
train,151,000151.png,success,0,3,4,8732.94
train,152,000152.png,success,1,3,6,8848.36
train,153,000153.png,success,0,4,3,57156.85
train,154,000154.png,success,0,3,6,8952.6
train,155,000155.png,success,0,3,5,8567.46
train,156,000156.png,success,0,3,3,8893.27
train,157,000157.png,success,0,1,2,8785.25
train,158,000158.png,success,1,4,1,8683.37
train,159,000159.png,success,1,5,2,8807.51
train,160,000160.png,success,1,2,5,8640.55
train,161,000161.png,success,1,4,3,8635.19
train,162,000162.png,success,0,2,6,8430.43
train,163,000163.png,success,1,3,0,8628.97
